Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
440035; смт Біловодськ – вул.Вишнева, вул.імені Героїв Чорнобиля, вул.ім.Кузоятова, вул.ім.Торосяна, вул.ім.Чехова, вул.ім.41-ї стрілецької дивізії, вул.Комишна, вул.Лісова, вул.Лугова, вул.Об’їздна, вул.Сільська, вул.Сонячна, вул.Третяківська, вул.Урожайна, вул.Шахтарська, пров.Глиняний, пров.Колгоспний, пров.Комишний, пров.Лиманний, пров.Мельнічний, пров.Південний, пров.Сільський, пров.Танковий, пров.Тупіковий; вул.ім.Торосяна, 13, смт Біловодськ, Біловодський р-н, Луганська обл., 92800 (заготконтора, торгова зала);Середня;39.561496,49.195651
440036; смт Біловодськ – вул.Аграрна, вул.Бараниківська, вул.Біловодська: 1–95, 97, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119–119А, 121А., вул.Донецька, вул.Дубівецька, вул.Зіркова, вул.ім.Богдана Хмельницького, вул.ім.Гагаріна, вул.ім.Горького, вул.ім.Зінченка, вул.ім.Косьміна: 2–12., вул.ім.Шевченка: 9, 11, 13, 15–89., вул.Квіткова, вул.Луганська: 1., вул.Східна, пров.Аграрний, пров.Бараниківський, пров.Деркульський, пров.ім.Косьміна, пров.Квітковий, пров.Луганський, пров.Механізації, пров.Спортивний; вул.Аграрна, 32, смт Біловодськ, Біловодський р-н, Луганська обл., 92800 (ліцей, фойє);Середня;39.592940,49.202897
440037; смт Біловодськ – вул.Береговий тупік, вул.Виноградна, вул.Заливна, вул.ім.Гоголя, вул.ім.Жарінова, вул.ім.Коцюбинського, вул.ім.Мащенко, вул.ім.Нєкрасова, вул.ім.Новікова, вул.ім.П.Біливоди, вул.ім.Петровського, вул.ім.Попова, вул.ім.Філоненка, вул.ім.Шевченка: 3–8, 10, 12, 14., вул.Лінійна, вул.Набережна, вул.Підгорна, вул.Ракетна, вул.Садова, вул.Центральна: 3–142, 144–146, 148–150, 152, 158–158А, 160, 162, 164, 166, 168–168А, 170, 172, 174, 176, 178, 180, 184., вул.Шкільна, пров.Басейний, пров.Піщаний, пров.Шкільний; вул.Центральна, 109, смт Біловодськ, Біловодський р-н, Луганська обл., 92800 (будинок культури, фойє);Середня;39.576156,49.206796
440038; смт Біловодськ – вул.Біловодська: 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122–178., вул.Джерельна, вул.ім.Генерала Юрченка, вул.ім.Гуньяна: 1–20, 21–23, 25, 27–31, 33, 35, 37, 39, 41., вул.ім.Козюменського, вул.Луганська: 1А–35., вул.Привокзальна, вул.Центральна: 143, 147, 151, 153–157, 159, 161, 163, 165, 167, 169, 171, 173, 175, 177, 179, 181–183, 185–200, 202, 204, 208, 210, 212, 214–214А, 222, 224, 226, 228., пров.Джерельний, пров.Дубівецький, пров.Прифермський; вул.ім.Козюменського, 16, смт Біловодськ, Біловодський р-н, Луганська обл., 92800 (дитячо-юнацька спортивна школа, ігрова зала);Середня;39.588428,49.215517
440039; смт Біловодськ – вул.Друга лінія, вул.Зарічна, вул.ім.Гуньяна: 20А, 24, 26, 32, 34, 36, 38, 40, 42–81., вул.ім.Косьміна: 14–34., вул.ім.Чкалова, вул.Луганська: 36–61А., вул.Миру, вул.Молодіжна, вул.Незалежності, вул.Перша лінія, вул.Тракторна, вул.Третя лінія, вул.Центральна: 201, 203, 205–207, 209, 211, 213, 215–221, 223, 225, 227, 229–270., пров.ім.Шафрановського; вул.ім.Гуньяна, 20, смт Біловодськ, Біловодський р-н, Луганська обл., 92800 (райавтодор, актова зала);Середня;39.594533,49.221060
440040; с.Бараниківка; вул.ім.Юрченка, 21, с.Бараниківка, Біловодський р-н, Луганська обл., 92830 (школа, спортивна зала);Середня;39.831648,49.150385
440041; с.Зелеківка; вул.Єлісєєва, 57, с.Зелеківка, Біловодський р-н, Луганська обл., 92831 (школа, спортивна зала);Середня;39.842818,49.195881
440042; с.Брусівка; вул.Степова, 7, с.Брусівка, Біловодський р-н, Луганська обл., 92814 (сільська рада, фойє);мала;39.401057,49.324534
440043; с.Городище, с.Ноздрівка; вул.Покровська, 8, с.Городище, Біловодський р-н, Луганська обл., 92835 (будинок культури, фойє);Середня;39.644637,49.053723
440044; с.Данилівка; вул.Миру, 40, с.Данилівка, Біловодський р-н, Луганська обл., 92833 (дитячий садок, музична зала);Середня;39.622289,49.116593
